Activity,Mean_Absolute_Contribution,N
Resolved,0.45130032300949097,4
Closed,0.21461771168406046,63
Caused By CI,0.17523810343864638,39
Mail to Customer,0.16509709590011173,18
Quality Indicator Set,0.08792139093081157,6
Affected CI Change,0.08723495900630951,2
Service Change,0.07933950424194336,2
Pending vendor,0.05803140004475912,12
Quality Indicator Fixed,0.0522385048014777,14
Update from customer,0.049772000312805174,10
Vendor Reference Change,0.04866522550582886,1
Communication with customer,0.02281653881072998,18
Analysis/Research,0.022483646869659424,1
Open,0.014662244158690094,244
Incident reproduction,0.0132179856300354,1
Operator Update,0.012744853586222219,226
Reopen,0.012440639237562815,12
Reassignment,0.01202367738103182,209
Description Update,0.010699331760406494,25
Status Change,0.007235643753396257,227
Assignment,0.005637993075569131,351
External Vendor Assignment,0.0041181778206544764,17
Problem Workaround,0.0036809444427490234,1
Vendor Reference,0.0031504034996032715,2
Update,0.0029016453147734573,149
Urgency Change,0.0028944671154022216,5
Impact Change,0.0021343111991882326,5
