Feature,F1_Integrated_Gradients,F2_Integrated_Gradients,Mean_Importance
events_per_hour,0.08874748,0.03228833,0.060517907
time_since_prev_h,0.03202978,0.038109902,0.035069842
elapsed_h,0.028982105,0.039313607,0.034147855
dow_cos,0.03915276,0.02066956,0.02991116
gap_max_so_far,0.02318707,0.027451625,0.025319347
gap_cv,0.035091687,0.015058387,0.025075037
dow_sin,0.036743935,0.0118412655,0.0242926
pace_ratio,0.03272376,0.011609025,0.022166392
n_distinct_acts_so_far,0.033044368,0.006670319,0.019857343
activity_diversity,0.03338407,0.006152187,0.019768128
prefix_len,0.010671475,0.00578831,0.008229893
