IncidentID,time:timestamp,concept:name,case_start,case_end,late,prefix_len,elapsed_h,remaining_h,time_since_prev_h,hour,dow,dow_sin,dow_cos,n_distinct_acts_so_far,gap_max_so_far,pace_ratio,events_per_hour,activity_diversity,gap_cv,gap_prev2,wartezeit_h
Case 1,2012-10-12 15:02:56,Take in charge ticket,2012-10-09 14:50:17,2012-11-09 12:54:39,0,3,72.21083333333333,669.8619444444445,72.1986111111111,15,4,-0.433883739117558,-0.9009688679024191,2,72.1986111111111,2.9982466056823815,0.04148755949431276,0.6666666666666666,1.7308919831040006,0.012222222222222223,72.1986111111111
Case 10,2010-03-19 08:47:13,Resolve ticket,2010-02-10 08:50:20,2010-04-03 07:47:38,2,3,887.9480555555556,359.00694444444446,0.0019444444444444444,8,4,-0.433883739117558,-0.9009688679024191,3,887.9461111111111,6.569231409309727e-06,0.003378195561864301,1.0,1.7319866017746461,887.9461111111111,0.0019444444444444444
Case 100,2013-04-24 15:51:11,Require upgrade,2013-04-12 10:25:17,2013-05-30 13:21:20,2,3,293.4316666666667,861.5025,5.4527777777777775,15,2,0.9749279121818236,-0.22252093395631434,3,287.9788888888889,0.05574265804165223,0.010220362368625759,1.0,1.6838298692323153,287.9788888888889,5.4527777777777775
Case 1000,2010-01-26 14:06:53,Resolve ticket,2010-01-21 08:53:28,2010-03-06 09:00:57,1,4,125.22361111111111,930.9011111111112,125.22027777777778,14,1,0.7818314824680298,0.6234898018587336,3,125.22027777777778,3.998616251505159,0.031917369476798955,0.75,1.9992903855446773,0.0016666666666666668,125.22027777777778
Case 1001,2013-03-25 08:08:33,Take in charge ticket,2013-03-08 17:01:24,2013-04-12 09:31:36,0,2,399.1191666666667,433.38416666666666,399.1191666666667,8,0,0.0,1.0,2,399.1191666666667,1.9998997843275217,0.005009779507079444,1.0,1.4141426991915043,0.0,399.1191666666667
Case 1002,2010-08-27 07:34:45,Take in charge ticket,2010-08-25 10:36:10,2010-09-25 10:40:32,0,2,44.97638888888889,699.0963888888889,44.97638888888889,7,4,-0.433883739117558,-0.9009688679024191,2,44.97638888888889,1.9991110397747966,0.04436912648282237,1.0,1.4135849725696485,0.0,44.97638888888889
Case 1003,2011-01-20 10:59:03,Resolve ticket,2010-12-23 11:23:52,2011-02-04 10:59:20,1,3,671.5863888888889,360.0047222222222,219.0536111111111,10,3,0.43388373911755823,-0.900968867902419,3,452.53277777777777,0.9784764699094515,0.004466370094178376,1.0,1.0108659204333539,452.53277777777777,219.0536111111111
Case 1004,2011-09-26 08:52:05,Take in charge ticket,2011-09-21 07:09:20,2011-10-22 07:10:49,0,2,121.7125,622.3122222222222,121.7125,8,0,0.0,1.0,2,121.7125,1.9996714106750457,0.016418676244227808,1.0,1.4139812146331945,0.0,121.7125
Case 1005,2011-01-13 14:26:36,Resolve ticket,2010-12-22 08:35:14,2011-02-18 08:40:43,3,3,533.8561111111111,858.2352777777778,533.6238888888889,14,3,0.43388373911755823,-0.900968867902419,3,533.6238888888889,2.9985265271931696,0.005618439301607186,1.0,1.73082352915074,0.23222222222222222,533.6238888888889
Case 1007,2012-11-12 08:37:18,Resolve ticket,2012-10-10 10:47:41,2012-11-27 08:37:28,2,3,789.8269444444444,360.0027777777778,430.2247222222222,8,0,0.0,1.0,3,430.2247222222222,1.634060668510648,0.0037978195592630404,1.0,0.8763164784070886,359.6022222222222,430.2247222222222
Case 1008,2011-10-26 07:19:46,Take in charge ticket,2011-10-25 14:35:19,2011-12-08 15:40:25,1,2,16.740833333333335,1040.3441666666668,16.740833333333335,7,2,0.9749279121818236,-0.22252093395631434,2,16.740833333333335,1.9976134838164372,0.11875896877628778,1.0,1.4125260405962865,0.0,16.740833333333335
Case 1009,2012-05-22 07:53:06,Resolve ticket,2012-05-18 12:11:25,2012-06-28 14:10:31,1,4,91.69472222222223,894.2902777777778,88.76027777777777,7,1,0.7818314824680298,0.6234898018587336,4,88.76027777777777,3.870302351284652,0.043575489997306795,1.0,1.9142399184718177,0.7366666666666667,88.76027777777777
Case 101,2010-06-29 07:35:47,Take in charge ticket,2010-06-18 13:47:15,2010-08-05 13:50:24,2,3,257.8088888888889,894.2436111111111,257.2922222222222,7,1,0.7818314824680298,0.6234898018587336,3,257.2922222222222,2.9936394389261167,0.011632014751117966,1.0,1.726645779864181,0.5166666666666667,257.2922222222222
Case 1010,2013-06-28 10:12:09,Require upgrade,2013-06-21 07:11:34,2013-08-01 15:39:11,1,3,171.00972222222222,821.4505555555555,96.09583333333333,10,4,-0.433883739117558,-0.9009688679024191,3,96.09583333333333,1.6855002817734022,0.01753260984261236,1.0,0.8855760605986929,74.91388888888889,96.09583333333333
Case 1012,2010-05-28 15:38:45,Resolve ticket,2010-05-25 15:14:28,2010-06-26 15:20:26,0,3,72.40472222222222,695.6947222222223,0.01,15,4,-0.433883739117558,-0.9009688679024191,3,72.39472222222223,0.00041416601154296005,0.04137661531624377,1.0,1.7309747850937947,72.39472222222223,0.01
